"Service","Method","Path","Endpoint"
"groups","POST","/{domainID}/groups/{groupID}/enable","POST /{domainID}/groups/{groupID}/enable"
"groups","GET","/{domainID}/groups/{groupID}/hierarchy","GET /{domainID}/groups/{groupID}/hierarchy"
"groups","DELETE","/{domainID}/groups/{groupID}/parent","DELETE /{domainID}/groups/{groupID}/parent"
"groups","POST","/{domainID}/groups/{groupID}/parent","POST /{domainID}/groups/{groupID}/parent"
"groups","GET","/{domainID}/groups/{groupID}/roles","GET /{domainID}/groups/{groupID}/roles"
"groups","POST","/{domainID}/groups/{groupID}/roles","POST /{domainID}/groups/{groupID}/roles"
"groups","DELETE","/{domainID}/groups/{groupID}/roles/{roleID}","DELETE /{domainID}/groups/{groupID}/roles/{roleID}"
"groups","GET","/{domainID}/groups/{groupID}/roles/{roleID}","GET /{domainID}/groups/{groupID}/roles/{roleID}"
"groups","PUT","/{domainID}/groups/{groupID}/roles/{roleID}","PUT /{domainID}/groups/{groupID}/roles/{roleID}"
"groups","GET","/{domainID}/groups/{groupID}/roles/{roleID}/actions","GET /{domainID}/groups/{groupID}/roles/{roleID}/actions"
"groups","POST","/{domainID}/groups/{groupID}/roles/{roleID}/actions","POST /{domainID}/groups/{groupID}/roles/{roleID}/actions"
"groups","POST","/{domainID}/groups/{groupID}/roles/{roleID}/actions/delete","POST /{domainID}/groups/{groupID}/roles/{roleID}/actions/delete"
"groups","POST","/{domainID}/groups/{groupID}/roles/{roleID}/actions/delete-all","POST /{domainID}/groups/{groupID}/roles/{roleID}/actions/delete-all"
"groups","GET","/{domainID}/groups/{groupID}/roles/{roleID}/members","GET /{domainID}/groups/{groupID}/roles/{roleID}/members"
"groups","POST","/{domainID}/groups/{groupID}/roles/{roleID}/members","POST /{domainID}/groups/{groupID}/roles/{roleID}/members"
"groups","POST","/{domainID}/groups/{groupID}/roles/{roleID}/members/delete","POST /{domainID}/groups/{groupID}/roles/{roleID}/members/delete"
"groups","POST","/{domainID}/groups/{groupID}/roles/{roleID}/members/delete-all","POST /{domainID}/groups/{groupID}/roles/{roleID}/members/delete-all"
"groups","GET","/{domainID}/groups/{groupID}/roles/members","GET /{domainID}/groups/{groupID}/roles/members"
"groups","PATCH","/{domainID}/groups/{groupID}/tags","PATCH /{domainID}/groups/{groupID}/tags"
"groups","GET","/{domainID}/groups/roles/available-actions","GET /{domainID}/groups/roles/available-actions"
"groups","GET","/health","GET /health"
"http","GET","/health","GET /health"
"http","POST","/m/{domainPrefix}/c/{channelPrefix}","POST /m/{domainPrefix}/c/{channelPrefix}"
"journal","GET","/{domainID}/journal/{entityType}/{id}","GET /{domainID}/journal/{entityType}/{id}"
"journal","GET","/{domainID}/journal/client/{clientID}/telemetry","GET /{domainID}/journal/client/{clientID}/telemetry"
"journal","GET","/health","GET /health"
"journal","GET","/journal/user/{userID}","GET /journal/user/{userID}"
"notifiers","GET","/health","GET /health"
"notifiers","GET","/subscriptions","GET /subscriptions"
"notifiers","POST","/subscriptions","POST /subscriptions"
"notifiers","DELETE","/subscriptions/{id}","DELETE /subscriptions/{id}"
"notifiers","GET","/subscriptions/{id}","GET /subscriptions/{id}"
"readers","GET","/{domainID}/channels/{chanId}/messages","GET /{domainID}/channels/{chanId}/messages"
"readers","GET","/health","GET /health"
"reports","POST","/{domainID}/reports","POST /{domainID}/reports"
"reports","GET","/{domainID}/reports/configs","GET /{domainID}/reports/configs"
"reports","POST","/{domainID}/reports/configs","POST /{domainID}/reports/configs"
"reports","DELETE","/{domainID}/reports/configs/{reportID}","DELETE /{domainID}/reports/configs/{reportID}"
"reports","GET","/{domainID}/reports/configs/{reportID}","GET /{domainID}/reports/configs/{reportID}"
"reports","PATCH","/{domainID}/reports/configs/{reportID}","PATCH /{domainID}/reports/configs/{reportID}"
"reports","POST","/{domainID}/reports/configs/{reportID}/disable","POST /{domainID}/reports/configs/{reportID}/disable"
"reports","POST","/{domainID}/reports/configs/{reportID}/enable","POST /{domainID}/reports/configs/{reportID}/enable"
"reports","PATCH","/{domainID}/reports/configs/{reportID}/schedule","PATCH /{domainID}/reports/configs/{reportID}/schedule"
"reports","GET","/health","GET /health"
"rules","GET","/{domainID}/rules","GET /{domainID}/rules"
"rules","POST","/{domainID}/rules","POST /{domainID}/rules"
"rules","DELETE","/{domainID}/rules/{ruleID}","DELETE /{domainID}/rules/{ruleID}"
"rules","GET","/{domainID}/rules/{ruleID}","GET /{domainID}/rules/{ruleID}"
"rules","PUT","/{domainID}/rules/{ruleID}","PUT /{domainID}/rules/{ruleID}"
"rules","PUT","/{domainID}/rules/{ruleID}/disable","PUT /{domainID}/rules/{ruleID}/disable"
"rules","PUT","/{domainID}/rules/{ruleID}/enable","PUT /{domainID}/rules/{ruleID}/enable"
"rules","GET","/health","GET /health"
"users","GET","/health","GET /health"
"users","PUT","/password/reset","PUT /password/reset"
"users","POST","/password/reset-request","POST /password/reset-request"
"users","GET","/users","GET /users"
"users","POST","/users","POST /users"
"users","DELETE","/users/{userID}","DELETE /users/{userID}"
"users","GET","/users/{userID}","GET /users/{userID}"
"users","PATCH","/users/{userID}","PATCH /users/{userID}"
"users","POST","/users/{userID}/disable","POST /users/{userID}/disable"
"users","PATCH","/users/{userID}/email","PATCH /users/{userID}/email"
"users","POST","/users/{userID}/enable","POST /users/{userID}/enable"
"users","PATCH","/users/{userID}/picture","PATCH /users/{userID}/picture"
"users","PATCH","/users/{userID}/role","PATCH /users/{userID}/role"
"users","PATCH","/users/{userID}/tags","PATCH /users/{userID}/tags"
"users","PATCH","/users/{userID}/username","PATCH /users/{userID}/username"
"users","GET","/users/profile","GET /users/profile"
"users","GET","/users/search","GET /users/search"
"users","PATCH","/users/secret","PATCH /users/secret"
"users","POST","/users/send-verification","POST /users/send-verification"
"users","POST","/users/tokens/issue","POST /users/tokens/issue"
"users","POST","/users/tokens/refresh","POST /users/tokens/refresh"
"users","GET","/users/tokens/refresh-tokens","GET /users/tokens/refresh-tokens"
"users","POST","/users/tokens/revoke","POST /users/tokens/revoke"
"users","GET","/verify-email","GET /verify-email"
